subject,activity,har_label,is_fall,in_har,mmwave_path,imu_path,start_time,n_reps,cut_timestamps
1,jog,10,0,1,node_1/mmWave/data/20240519165405_node_1_modality_mmwave_subject_1_activity_jog_trial_1.pickle,imu/20240519165402_node_1_modality_imu.pickle,2024-05-19 16:54:04.799,11,"['2024-05-19 16.54.07.582', '2024-05-19 16.54.12.932', '2024-05-19 16.54.18.224', '2024-05-19 16.54.23.790', '2024-05-19 16.54.28.507', '2024-05-19 16.54.33.640', '2024-05-19 16.54.38.149', '2024-05-19 16.54.43.024', '2024-05-19 16.54.47.790', '2024-05-19 16.54.51.815', '2024-05-19 16.54.55.999']"
1,falldown,-1,1,0,node_1/mmWave/data/20240519170719_node_1_modality_mmwave_subject_1_activity_falldown_trial_3.pickle,imu/20240519170717_node_1_modality_imu.pickle,2024-05-19 17:07:18.827,12,"['2024-05-19 17.07.21.035', '2024-05-19 17.07.28.735', '2024-05-19 17.07.37.027', '2024-05-19 17.07.44.068', '2024-05-19 17.07.50.718', '2024-05-19 17.07.56.177', '2024-05-19 17.08.03.227', '2024-05-19 17.08.09.018', '2024-05-19 17.08.15.660', '2024-05-19 17.08.20.735', '2024-05-19 17.08.25.935', '2024-05-19 17.08.31.985']"
1,squat,5,0,1,node_1/mmWave/data/20240519173935_node_1_modality_mmwave_subject_1_activity_squat_trial_1.pickle,imu/20240519173933_node_1_modality_imu.pickle,2024-05-19 17:39:34.965,11,"['2024-05-19 17.39.38.165', '2024-05-19 17.39.43.473', '2024-05-19 17.39.48.098', '2024-05-19 17.39.52.273', '2024-05-19 17.39.57.031', '2024-05-19 17.40.01.298', '2024-05-19 17.40.05.606', '2024-05-19 17.40.09.915', '2024-05-19 17.40.14.131', '2024-05-19 17.40.17.856', '2024-05-19 17.40.21.348']"
1,lunge,6,0,1,node_1/mmWave/data/20240519174359_node_1_modality_mmwave_subject_1_activity_lunge_trial_1.pickle,imu/20240519174355_node_1_modality_imu.pickle,2024-05-19 17:43:56.715,11,"['2024-05-19 17.44.01.631', '2024-05-19 17.44.07.290', '2024-05-19 17.44.12.648', '2024-05-19 17.44.18.048', '2024-05-19 17.44.22.781', '2024-05-19 17.44.28.340', '2024-05-19 17.44.33.490', '2024-05-19 17.44.38.431', '2024-05-19 17.44.42.340', '2024-05-19 17.44.47.023', '2024-05-19 17.44.52.173']"
1,turn,9,0,1,node_1/mmWave/data/20240519174916_node_1_modality_mmwave_subject_1_activity_turn_trial_1.pickle,imu/20240519174914_node_1_modality_imu.pickle,2024-05-19 17:49:16.617,11,"['2024-05-19 17.49.19.200', '2024-05-19 17.49.25.458', '2024-05-19 17.49.33.025', '2024-05-19 17.49.40.867', '2024-05-19 17.49.48.367', '2024-05-19 17.49.55.183', '2024-05-19 17.50.02.133', '2024-05-19 17.50.08.600', '2024-05-19 17.50.15.200', '2024-05-19 17.50.21.600', '2024-05-19 17.50.27.583']"
1,legraise,7,0,1,node_1/mmWave/data/20240519182450_node_1_modality_mmwave_subject_1_activity_legraise_trial_3.pickle,imu/20240519182447_node_1_modality_imu.pickle,2024-05-19 18:24:49.861,12,"['2024-05-19 18.24.52.194', '2024-05-19 18.24.57.027', '2024-05-19 18.25.01.744', '2024-05-19 18.25.06.369', '2024-05-19 18.25.11.402', '2024-05-19 18.25.15.461', '2024-05-19 18.25.20.027', '2024-05-19 18.25.24.086', '2024-05-19 18.25.28.502', '2024-05-19 18.25.33.277', '2024-05-19 18.25.37.336', '2024-05-19 18.25.41.694']"
1,pickup,4,0,1,node_1/mmWave/data/20240519192916_node_1_modality_mmwave_subject_1_activity_pickup_trial_1.pickle,imu/20240519192914_node_1_modality_imu.pickle,2024-05-19 19:29:15.354,11,"['2024-05-19 19.29.18.187', '2024-05-19 19.29.23.762', '2024-05-19 19.29.29.912', '2024-05-19 19.29.36.112', '2024-05-19 19.29.42.112', '2024-05-19 19.29.47.095', '2024-05-19 19.29.51.870', '2024-05-19 19.29.57.120', '2024-05-19 19.30.01.837', '2024-05-19 19.30.06.345', '2024-05-19 19.30.11.012']"
1,stagger,11,0,1,node_1/mmWave/data/20240520223617_node_1_modality_mmwave_subject_1_activity_stagger_trial_1.pickle,imu/20240520223613_node_1_modality_imu.pickle,2024-05-20 22:36:15.401,12,"['2024-05-20 22.36.17.884', '2024-05-20 22.36.26.001', '2024-05-20 22.36.35.201', '2024-05-20 22.36.44.767', '2024-05-20 22.36.55.592', '2024-05-20 22.37.04.251', '2024-05-20 22.37.13.184', '2024-05-20 22.37.21.576', '2024-05-20 22.37.28.609', '2024-05-20 22.37.37.184', '2024-05-20 22.37.45.751', '2024-05-20 22.37.54.317']"
1,stretchoneself,8,0,1,node_1/mmWave/data/20240520224742_node_1_modality_mmwave_subject_1_activity_stretchoneself_trial_1.pickle,imu/20240520224738_node_1_modality_imu.pickle,2024-05-20 22:47:40.569,14,"['2024-05-20 22.47.43.444', '2024-05-20 22.47.51.769', '2024-05-20 22.47.59.752', '2024-05-20 22.48.07.219', '2024-05-20 22.48.15.035', '2024-05-20 22.48.22.069', '2024-05-20 22.48.29.194', '2024-05-20 22.48.35.719', '2024-05-20 22.48.41.727', '2024-05-20 22.48.48.510', '2024-05-20 22.48.55.285', '2024-05-20 22.49.02.152', '2024-05-20 22.49.09.110', '2024-05-20 22.49.15.119']"
3,sit,0,0,1,node_1/mmWave/data/20240521202338_node_1_modality_mmwave_subject_3_activity_sit_trial_1.pickle,imu/20240521202335_node_1_modality_imu.pickle,2024-05-21 20:23:37.718,11,"['2024-05-21 20.23.44.318', '2024-05-21 20.23.51.859', '2024-05-21 20.24.00.893', '2024-05-21 20.24.09.818', '2024-05-21 20.24.21.134', '2024-05-21 20.24.32.443', '2024-05-21 20.24.42.168', '2024-05-21 20.24.52.884', '2024-05-21 20.25.04.201', '2024-05-21 20.25.15.309', '2024-05-21 20.25.25.034']"
3,walk,1,0,1,node_1/mmWave/data/20240521203257_node_1_modality_mmwave_subject_3_activity_walk_trial_1.pickle,imu/20240521203254_node_1_modality_imu.pickle,2024-05-21 20:32:56.109,11,"['2024-05-21 20.33.01.600', '2024-05-21 20.33.09.184', '2024-05-21 20.33.17.400', '2024-05-21 20.33.25.850', '2024-05-21 20.33.33.909', '2024-05-21 20.33.41.492', '2024-05-21 20.33.50.734', '2024-05-21 20.33.59.500', '2024-05-21 20.34.08.109', '2024-05-21 20.34.16.484', '2024-05-21 20.34.24.142']"
3,bow,3,0,1,node_1/mmWave/data/20240521203859_node_1_modality_mmwave_subject_3_activity_bow_trial_1.pickle,imu/20240521203856_node_1_modality_imu.pickle,2024-05-21 20:38:58.298,11,"['2024-05-21 20.39.04.114', '2024-05-21 20.39.11.981', '2024-05-21 20.39.19.239', '2024-05-21 20.39.24.623', '2024-05-21 20.39.31.073', '2024-05-21 20.39.38.264', '2024-05-21 20.39.44.856', '2024-05-21 20.39.52.048', '2024-05-21 20.39.59.514', '2024-05-21 20.40.04.823', '2024-05-21 20.40.09.998']"
3,sleep,2,0,1,node_1/mmWave/data/20240521205457_node_1_modality_mmwave_subject_3_activity_sleep_trial_1.pickle,imu/20240521205454_node_1_modality_imu.pickle,2024-05-21 20:54:55.967,11,"['2024-05-21 20.54.59.717', '2024-05-21 20.55.05.475', '2024-05-21 20.55.12.658', '2024-05-21 20.55.18.542', '2024-05-21 20.55.24.617', '2024-05-21 20.55.30.317', '2024-05-21 20.55.40.408', '2024-05-21 20.55.46.667', '2024-05-21 20.55.54.283', '2024-05-21 20.55.59.300', '2024-05-21 20.56.04.567']"
3,jog,10,0,1,node_1/mmWave/data/20240521212253_node_1_modality_mmwave_subject_3_activity_jog_trial_1.pickle,imu/20240521212250_node_1_modality_imu.pickle,2024-05-21 21:22:51.927,11,"['2024-05-21 21.22.56.360', '2024-05-21 21.23.03.093', '2024-05-21 21.23.10.052', '2024-05-21 21.23.18.985', '2024-05-21 21.23.28.210', '2024-05-21 21.23.35.752', '2024-05-21 21.23.42.127', '2024-05-21 21.23.48.935', '2024-05-21 21.23.55.452', '2024-05-21 21.24.03.802', '2024-05-21 21.24.11.410']"
3,falldown,-1,1,0,node_1/mmWave/data/20240521213124_node_1_modality_mmwave_subject_3_activity_falldown_trial_3.pickle,imu/20240521213121_node_1_modality_imu.pickle,2024-05-21 21:31:23.973,11,"['2024-05-21 21.31.29.498', '2024-05-21 21.31.38.831', '2024-05-21 21.31.46.523', '2024-05-21 21.31.55.123', '2024-05-21 21.32.03.964', '2024-05-21 21.32.12.064', '2024-05-21 21.32.19.273', '2024-05-21 21.32.26.556', '2024-05-21 21.32.35.231', '2024-05-21 21.32.44.156', '2024-05-21 21.32.52.014']"
3,squat,5,0,1,node_1/mmWave/data/20240521214340_node_1_modality_mmwave_subject_3_activity_squat_trial_2.pickle,imu/20240521214338_node_1_modality_imu.pickle,2024-05-21 21:43:40.302,11,"['2024-05-21 21.43.49.443', '2024-05-21 21.43.55.268', '2024-05-21 21.43.59.560', '2024-05-21 21.44.03.693', '2024-05-21 21.44.08.935', '2024-05-21 21.44.13.227', '2024-05-21 21.44.17.460', '2024-05-21 21.44.20.960', '2024-05-21 21.44.25.727', '2024-05-21 21.44.30.393', '2024-05-21 21.44.35.635']"
3,lunge,6,0,1,node_1/mmWave/data/20240521215835_node_1_modality_mmwave_subject_3_activity_lunge_trial_2.pickle,imu/20240521215832_node_1_modality_imu.pickle,2024-05-21 21:58:34.669,11,"['2024-05-21 21.58.41.627', '2024-05-21 21.58.47.785', '2024-05-21 21.58.53.469', '2024-05-21 21.58.58.435', '2024-05-21 21.59.02.402', '2024-05-21 21.59.07.852', '2024-05-21 21.59.14.010', '2024-05-21 21.59.20.169', '2024-05-21 21.59.25.377', '2024-05-21 21.59.31.177', '2024-05-21 21.59.36.327']"
3,turn,9,0,1,node_1/mmWave/data/20240521220433_node_1_modality_mmwave_subject_3_activity_turn_trial_2.pickle,imu/20240521220430_node_1_modality_imu.pickle,2024-05-21 22:04:32.625,11,"['2024-05-21 22.04.41.275', '2024-05-21 22.04.50.850', '2024-05-21 22.04.59.025', '2024-05-21 22.05.07.891', '2024-05-21 22.05.17.458', '2024-05-21 22.05.24.850', '2024-05-21 22.05.34.075', '2024-05-21 22.05.43.116', '2024-05-21 22.05.51.900', '2024-05-21 22.06.00.775', '2024-05-21 22.06.10.083']"
3,legraise,7,0,1,node_1/mmWave/data/20240521223123_node_1_modality_mmwave_subject_3_activity_legraise_trial_3.pickle,imu/20240521223120_node_1_modality_imu.pickle,2024-05-21 22:31:22.058,12,"['2024-05-21 22.31.26.424', '2024-05-21 22.31.30.374', '2024-05-21 22.31.34.424', '2024-05-21 22.31.39.066', '2024-05-21 22.31.44.158', '2024-05-21 22.31.48.108', '2024-05-21 22.31.52.599', '2024-05-21 22.31.57.099', '2024-05-21 22.32.01.791', '2024-05-21 22.32.06.591', '2024-05-21 22.32.10.783', '2024-05-21 22.32.14.083']"
3,pickup,4,0,1,node_1/mmWave/data/20240521231058_node_1_modality_mmwave_subject_3_activity_pickup_trial_1.pickle,imu/20240521231055_node_1_modality_imu.pickle,2024-05-21 23:10:57.308,11,"['2024-05-21 23.11.01.799', '2024-05-21 23.11.08.366', '2024-05-21 23.11.14.141', '2024-05-21 23.11.19.966', '2024-05-21 23.11.25.008', '2024-05-21 23.11.30.258', '2024-05-21 23.11.35.149', '2024-05-21 23.11.39.449', '2024-05-21 23.11.44.491', '2024-05-21 23.11.49.483', '2024-05-21 23.11.53.841']"
3,stagger,11,0,1,node_1/mmWave/data/20240522211740_node_1_modality_mmwave_subject_3_activity_stagger_trial_1.pickle,imu/20240522211737_node_1_modality_imu.pickle,2024-05-22 21:17:39.427,11,"['2024-05-22 21.17.42.302', '2024-05-22 21.17.55.060', '2024-05-22 21.18.07.510', '2024-05-22 21.18.19.643', '2024-05-22 21.18.31.043', '2024-05-22 21.18.41.918', '2024-05-22 21.18.53.110', '2024-05-22 21.19.03.360', '2024-05-22 21.19.14.135', '2024-05-22 21.19.24.910', '2024-05-22 21.19.36.518']"
3,stretchoneself,8,0,1,node_1/mmWave/data/20240522214110_node_1_modality_mmwave_subject_3_activity_stretchoneself_trial_1.pickle,imu/20240522214106_node_1_modality_imu.pickle,2024-05-22 21:41:08.710,11,"['2024-05-22 21.41.12.843', '2024-05-22 21.41.19.626', '2024-05-22 21.41.25.901', '2024-05-22 21.41.32.310', '2024-05-22 21.41.38.593', '2024-05-22 21.41.45.743', '2024-05-22 21.41.52.026', '2024-05-22 21.41.58.051', '2024-05-22 21.42.03.093', '2024-05-22 21.42.09.126', '2024-05-22 21.42.15.718']"
4,sit,0,0,1,node_1/mmWave/data/20240523195139_node_1_modality_mmwave_subject_4_activity_sit_trial_2.pickle,imu/20240523195136_node_1_modality_imu.pickle,2024-05-23 19:51:38.878,10,"['2024-05-23 19.51.42.536', '2024-05-23 19.51.50.294', '2024-05-23 19.51.57.686', '2024-05-23 19.52.06.461', '2024-05-23 19.52.15.444', '2024-05-23 19.52.23.853', '2024-05-23 19.52.31.686', '2024-05-23 19.52.39.878', '2024-05-23 19.52.47.919', '2024-05-23 19.52.56.694']"
4,walk,1,0,1,node_1/mmWave/data/20240523200016_node_1_modality_mmwave_subject_4_activity_walk_trial_2.pickle,imu/20240523200012_node_1_modality_imu.pickle,2024-05-23 20:00:12.009,11,"['2024-05-23 20.00.16.925', '2024-05-23 20.00.26.100', '2024-05-23 20.00.35.650', '2024-05-23 20.00.46.542', '2024-05-23 20.00.55.992', '2024-05-23 20.01.06.500', '2024-05-23 20.01.17.009', '2024-05-23 20.01.27.325', '2024-05-23 20.01.38.117', '2024-05-23 20.01.48.917', '2024-05-23 20.01.58.175']"
4,bow,3,0,1,node_1/mmWave/data/20240523200617_node_1_modality_mmwave_subject_4_activity_bow_trial_1.pickle,imu/20240523200614_node_1_modality_imu.pickle,2024-05-23 20:06:16.008,11,"['2024-05-23 20.06.20.091', '2024-05-23 20.06.26.374', '2024-05-23 20.06.34.099', '2024-05-23 20.06.41.249', '2024-05-23 20.06.48.033', '2024-05-23 20.06.55.333', '2024-05-23 20.07.03.558', '2024-05-23 20.07.11.574', '2024-05-23 20.07.19.591', '2024-05-23 20.07.26.599', '2024-05-23 20.07.34.033']"
4,sleep,2,0,1,node_1/mmWave/data/20240523201042_node_1_modality_mmwave_subject_4_activity_sleep_trial_2.pickle,imu/20240523201037_node_1_modality_imu.pickle,2024-05-23 20:10:39.654,10,"['2024-05-23 20.10.42.804', '2024-05-23 20.10.48.445', '2024-05-23 20.10.56.270', '2024-05-23 20.11.01.212', '2024-05-23 20.11.06.454', '2024-05-23 20.11.13.862', '2024-05-23 20.11.22.920', '2024-05-23 20.11.30.104', '2024-05-23 20.11.37.395', '2024-05-23 20.11.43.104']"
4,jog,10,0,1,node_1/mmWave/data/20240523202045_node_1_modality_mmwave_subject_4_activity_jog_trial_1.pickle,imu/20240523202042_node_1_modality_imu.pickle,2024-05-23 20:20:44.658,11,"['2024-05-23 20.20.46.899', '2024-05-23 20.20.54.983', '2024-05-23 20.21.02.099', '2024-05-23 20.21.10.891', '2024-05-23 20.21.20.208', '2024-05-23 20.21.29.433', '2024-05-23 20.21.39.716', '2024-05-23 20.21.49.024', '2024-05-23 20.21.58.516', '2024-05-23 20.22.08.183', '2024-05-23 20.22.18.208']"
4,falldown,-1,1,0,node_1/mmWave/data/20240523202443_node_1_modality_mmwave_subject_4_activity_falldown_trial_1.pickle,imu/20240523202440_node_1_modality_imu.pickle,2024-05-23 20:24:42.666,11,"['2024-05-23 20.24.45.607', '2024-05-23 20.24.55.057', '2024-05-23 20.25.04.707', '2024-05-23 20.25.14.541', '2024-05-23 20.25.25.541', '2024-05-23 20.25.36.049', '2024-05-23 20.25.47.141', '2024-05-23 20.25.57.274', '2024-05-23 20.26.07.882', '2024-05-23 20.26.18.007', '2024-05-23 20.26.29.391']"
4,squat,5,0,1,node_1/mmWave/data/20240523205939_node_1_modality_mmwave_subject_4_activity_squat_trial_1.pickle,imu/20240523205935_node_1_modality_imu.pickle,2024-05-23 20:59:37.693,11,"['2024-05-23 20.59.40.634', '2024-05-23 20.59.47.234', '2024-05-23 20.59.54.543', '2024-05-23 21.00.01.709', '2024-05-23 21.00.08.584', '2024-05-23 21.00.15.393', '2024-05-23 21.00.23.626', '2024-05-23 21.00.31.284', '2024-05-23 21.00.39.376', '2024-05-23 21.00.47.109', '2024-05-23 21.00.54.343']"
4,lunge,6,0,1,node_1/mmWave/data/20240523210235_node_1_modality_mmwave_subject_4_activity_lunge_trial_1.pickle,imu/20240523210232_node_1_modality_imu.pickle,2024-05-23 21:02:33.493,11,"['2024-05-23 21.02.36.326', '2024-05-23 21.02.43.018', '2024-05-23 21.02.50.676', '2024-05-23 21.02.57.093', '2024-05-23 21.03.03.651', '2024-05-23 21.03.11.576', '2024-05-23 21.03.17.926', '2024-05-23 21.03.26.193', '2024-05-23 21.03.32.751', '2024-05-23 21.03.41.426', '2024-05-23 21.03.48.459']"
4,turn,9,0,1,node_1/mmWave/data/20240523210516_node_1_modality_mmwave_subject_4_activity_turn_trial_1.pickle,imu/20240523210514_node_1_modality_imu.pickle,2024-05-23 21:05:15.829,11,"['2024-05-23 21.05.18.420', '2024-05-23 21.05.25.445', '2024-05-23 21.05.33.504', '2024-05-23 21.05.40.770', '2024-05-23 21.05.50.504', '2024-05-23 21.05.57.687', '2024-05-23 21.06.05.995', '2024-05-23 21.06.12.937', '2024-05-23 21.06.22.270', '2024-05-23 21.06.30.495', '2024-05-23 21.06.38.479']"
4,legraise,7,0,1,node_1/mmWave/data/20240523212335_node_1_modality_mmwave_subject_4_activity_legraise_trial_4.pickle,imu/20240523212333_node_1_modality_imu.pickle,2024-05-23 21:23:35.268,11,"['2024-05-23 21.23.37.834', '2024-05-23 21.23.43.576', '2024-05-23 21.23.49.126', '2024-05-23 21.23.55.168', '2024-05-23 21.24.00.909', '2024-05-23 21.24.06.226', '2024-05-23 21.24.14.134', '2024-05-23 21.24.18.543', '2024-05-23 21.24.25.309', '2024-05-23 21.24.31.226', '2024-05-23 21.24.36.543']"
4,pickup,4,0,1,node_1/mmWave/data/20240524124528_node_1_modality_mmwave_subject_4_activity_pickup_trial_1.pickle,imu/20240524124524_node_1_modality_imu.pickle,2024-05-24 12:45:26.927,11,"['2024-05-24 12.45.29.143', '2024-05-24 12.45.36.818', '2024-05-24 12.45.45.168', '2024-05-24 12.45.54.043', '2024-05-24 12.46.01.785', '2024-05-24 12.46.08.785', '2024-05-24 12.46.17.510', '2024-05-24 12.46.26.152', '2024-05-24 12.46.33.152', '2024-05-24 12.46.41.052', '2024-05-24 12.46.49.018']"
